id,name,abbrev,division,age_group,organization,color,logo_url,gamechanger_url,demo
t-town-d-4b-blue,Town D 4B Blue,TWD4BB,Boys,4th Grade,Town D,#1d4ed8,,,true
t-town-e-4b-blue,Town E 4B Blue,TWE4BB,Boys,4th Grade,Town E,#1d4ed8,,,true
t-town-f-4b-blue,Town F 4B Blue,TWF4BB,Boys,4th Grade,Town F,#1d4ed8,,,true
t-town-g-4b-blue,Town G 4B Blue,TWG4BB,Boys,4th Grade,Town G,#1d4ed8,,,true
t-mineola-4b-white,Mineola 4B White,MIN4BW,Boys,4th Grade,Mineola,#6b7280,,,true
t-town-b-4b-white,Town B 4B White,TWB4BW,Boys,4th Grade,Town B,#6b7280,,,true
t-mineola-4g-red,Mineola 4G Red,MIN4GR,Girls,4th Grade,Mineola,#b91c1c,,,true
t-town-b-4g-red,Town B 4G Red,TWB4GR,Girls,4th Grade,Town B,#b91c1c,,,true
t-town-c-4g-red,Town C 4G Red,TWC4GR,Girls,4th Grade,Town C,#b91c1c,,,true
t-town-d-4g-red,Town D 4G Red,TWD4GR,Girls,4th Grade,Town D,#b91c1c,,,true
t-town-e-4g-red,Town E 4G Red,TWE4GR,Girls,4th Grade,Town E,#b91c1c,,,true
t-town-f-4g-red,Town F 4G Red,TWF4GR,Girls,4th Grade,Town F,#b91c1c,,,true
t-town-g-4g-red,Town G 4G Red,TWG4GR,Girls,4th Grade,Town G,#b91c1c,,,true
t-mineola-4g-blue,Mineola 4G Blue,MIN4GB,Girls,4th Grade,Mineola,#1d4ed8,,,true
t-town-b-4g-blue,Town B 4G Blue,TWB4GB,Girls,4th Grade,Town B,#1d4ed8,,,true
t-town-c-4g-blue,Town C 4G Blue,TWC4GB,Girls,4th Grade,Town C,#1d4ed8,,,true
t-town-d-4g-blue,Town D 4G Blue,TWD4GB,Girls,4th Grade,Town D,#1d4ed8,,,true
t-town-e-4g-blue,Town E 4G Blue,TWE4GB,Girls,4th Grade,Town E,#1d4ed8,,,true
t-town-f-4g-blue,Town F 4G Blue,TWF4GB,Girls,4th Grade,Town F,#1d4ed8,,,true
t-town-g-4g-blue,Town G 4G Blue,TWG4GB,Girls,4th Grade,Town G,#1d4ed8,,,true
t-mineola-4g-white,Mineola 4G White,MIN4GW,Girls,4th Grade,Mineola,#6b7280,,,true
t-town-b-4g-white,Town B 4G White,TWB4GW,Girls,4th Grade,Town B,#6b7280,,,true
t-mineola-56b-red,Mineola 56B Red,MIN56BR,Boys,5th/6th Grade,Mineola,#b91c1c,,,true
t-town-b-56b-red,Town B 56B Red,TWB56BR,Boys,5th/6th Grade,Town B,#b91c1c,,,true
t-town-c-56b-red,Town C 56B Red,TWC56BR,Boys,5th/6th Grade,Town C,#b91c1c,,,true
t-town-d-56b-red,Town D 56B Red,TWD56BR,Boys,5th/6th Grade,Town D,#b91c1c,,,true
t-town-e-56b-red,Town E 56B Red,TWE56BR,Boys,5th/6th Grade,Town E,#b91c1c,,,true
t-town-f-56b-red,Town F 56B Red,TWF56BR,Boys,5th/6th Grade,Town F,#b91c1c,,,true
t-town-g-56b-red,Town G 56B Red,TWG56BR,Boys,5th/6th Grade,Town G,#b91c1c,,,true
t-mineola-56b-blue,Mineola 56B Blue,MIN56BB,Boys,5th/6th Grade,Mineola,#1d4ed8,,,true
t-town-b-56b-blue,Town B 56B Blue,TWB56BB,Boys,5th/6th Grade,Town B,#1d4ed8,,,true
t-town-c-56b-blue,Town C 56B Blue,TWC56BB,Boys,5th/6th Grade,Town C,#1d4ed8,,,true
t-town-d-56b-blue,Town D 56B Blue,TWD56BB,Boys,5th/6th Grade,Town D,#1d4ed8,,,true
t-town-e-56b-blue,Town E 56B Blue,TWE56BB,Boys,5th/6th Grade,Town E,#1d4ed8,,,true
t-town-f-56b-blue,Town F 56B Blue,TWF56BB,Boys,5th/6th Grade,Town F,#1d4ed8,,,true
t-town-g-56b-blue,Town G 56B Blue,TWG56BB,Boys,5th/6th Grade,Town G,#1d4ed8,,,true
t-mineola-56b-white,Mineola 56B White,MIN56BW,Boys,5th/6th Grade,Mineola,#6b7280,,,true
t-town-b-56b-white,Town B 56B White,TWB56BW,Boys,5th/6th Grade,Town B,#6b7280,,,true
t-mineola-56g-red,Mineola 56G Red,MIN56GR,Girls,5th/6th Grade,Mineola,#b91c1c,,,true
t-town-b-56g-red,Town B 56G Red,TWB56GR,Girls,5th/6th Grade,Town B,#b91c1c,,,true
t-town-c-56g-red,Town C 56G Red,TWC56GR,Girls,5th/6th Grade,Town C,#b91c1c,,,true
t-town-d-56g-red,Town D 56G Red,TWD56GR,Girls,5th/6th Grade,Town D,#b91c1c,,,true
t-town-e-56g-red,Town E 56G Red,TWE56GR,Girls,5th/6th Grade,Town E,#b91c1c,,,true
t-town-f-56g-red,Town F 56G Red,TWF56GR,Girls,5th/6th Grade,Town F,#b91c1c,,,true
t-town-g-56g-red,Town G 56G Red,TWG56GR,Girls,5th/6th Grade,Town G,#b91c1c,,,true
t-mineola-56g-blue,Mineola 56G Blue,MIN56GB,Girls,5th/6th Grade,Mineola,#1d4ed8,,,true
t-town-b-56g-blue,Town B 56G Blue,TWB56GB,Girls,5th/6th Grade,Town B,#1d4ed8,,,true
t-town-c-56g-blue,Town C 56G Blue,TWC56GB,Girls,5th/6th Grade,Town C,#1d4ed8,,,true
t-town-d-56g-blue,Town D 56G Blue,TWD56GB,Girls,5th/6th Grade,Town D,#1d4ed8,,,true
t-town-e-56g-blue,Town E 56G Blue,TWE56GB,Girls,5th/6th Grade,Town E,#1d4ed8,,,true
t-town-f-56g-blue,Town F 56G Blue,TWF56GB,Girls,5th/6th Grade,Town F,#1d4ed8,,,true
t-town-g-56g-blue,Town G 56G Blue,TWG56GB,Girls,5th/6th Grade,Town G,#1d4ed8,,,true
t-mineola-56g-white,Mineola 56G White,MIN56GW,Girls,5th/6th Grade,Mineola,#6b7280,,,true
t-town-b-56g-white,Town B 56G White,TWB56GW,Girls,5th/6th Grade,Town B,#6b7280,,,true
