id,date,time,field,away_team_id,home_team_id,week,division,status,away_score,home_score,demo
g-w1-4g-4,2026-08-29,12:00,Town F Gym,t-town-d-4g-red,t-town-f-4g-blue,1,4th Grade Girls,final,19,21,true
g-w1-56b-4,2026-08-29,13:00,Town F Gym,t-town-d-56b-red,t-town-f-56b-blue,1,5th/6th Grade Boys,final,28,22,true
g-w1-56g-4,2026-08-29,14:00,Town F Gym,t-town-d-56g-red,t-town-f-56g-blue,1,5th/6th Grade Girls,final,42,40,true
g-w1-3b-5,2026-08-29,09:00,Town E Gym,t-town-e-3b-red,t-town-e-3b-blue,1,3rd Grade Boys,final,14,27,true
g-w1-3g-5,2026-08-29,10:00,Town E Gym,t-town-e-3g-red,t-town-e-3g-blue,1,3rd Grade Girls,final,11,13,true
g-w1-4b-5,2026-08-29,11:00,Town E Gym,t-town-e-4b-red,t-town-e-4b-blue,1,4th Grade Boys,final,25,27,true
g-w1-4g-5,2026-08-29,12:00,Town E Gym,t-town-e-4g-red,t-town-e-4g-blue,1,4th Grade Girls,final,14,33,true
g-w1-56b-5,2026-08-29,13:00,Town E Gym,t-town-e-56b-red,t-town-e-56b-blue,1,5th/6th Grade Boys,final,21,32,true
g-w1-56g-5,2026-08-29,14:00,Town E Gym,t-town-e-56g-red,t-town-e-56g-blue,1,5th/6th Grade Girls,final,43,22,true
g-w1-3b-6,2026-08-29,09:00,Town D Gym,t-town-f-3b-red,t-town-d-3b-blue,1,3rd Grade Boys,final,14,28,true
g-w1-3g-6,2026-08-29,10:00,Town D Gym,t-town-f-3g-red,t-town-d-3g-blue,1,3rd Grade Girls,final,16,11,true
g-w1-4b-6,2026-08-29,11:00,Town D Gym,t-town-f-4b-red,t-town-d-4b-blue,1,4th Grade Boys,final,21,24,true
g-w1-4g-6,2026-08-29,12:00,Town D Gym,t-town-f-4g-red,t-town-d-4g-blue,1,4th Grade Girls,final,27,12,true
g-w1-56b-6,2026-08-29,13:00,Town D Gym,t-town-f-56b-red,t-town-d-56b-blue,1,5th/6th Grade Boys,final,48,28,true
g-w1-56g-6,2026-08-29,14:00,Town D Gym,t-town-f-56g-red,t-town-d-56g-blue,1,5th/6th Grade Girls,final,30,43,true
g-w1-3b-7,2026-08-29,09:00,Town C Gym,t-town-g-3b-red,t-town-c-3b-blue,1,3rd Grade Boys,final,20,16,true
g-w1-3g-7,2026-08-29,10:00,Town C Gym,t-town-g-3g-red,t-town-c-3g-blue,1,3rd Grade Girls,final,21,17,true
g-w1-4b-7,2026-08-29,11:00,Town C Gym,t-town-g-4b-red,t-town-c-4b-blue,1,4th Grade Boys,final,29,19,true
g-w1-4g-7,2026-08-29,12:00,Town C Gym,t-town-g-4g-red,t-town-c-4g-blue,1,4th Grade Girls,final,24,34,true
g-w1-56b-7,2026-08-29,13:00,Town C Gym,t-town-g-56b-red,t-town-c-56b-blue,1,5th/6th Grade Boys,final,35,38,true
g-w1-56g-7,2026-08-29,14:00,Town C Gym,t-town-g-56g-red,t-town-c-56g-blue,1,5th/6th Grade Girls,final,35,34,true
g-w1-3b-8,2026-08-29,09:00,Mineola Elementary Gym,t-mineola-3b-blue,t-town-b-3b-blue,1,3rd Grade Boys,final,28,14,true
g-w1-3g-8,2026-08-29,10:00,Mineola Elementary Gym,t-mineola-3g-blue,t-town-b-3g-blue,1,3rd Grade Girls,final,19,26,true
g-w1-4b-8,2026-08-29,11:00,Mineola Elementary Gym,t-mineola-4b-blue,t-town-b-4b-blue,1,4th Grade Boys,final,22,18,true
g-w1-4g-8,2026-08-29,12:00,Mineola Elementary Gym,t-mineola-4g-blue,t-town-b-4g-blue,1,4th Grade Girls,final,27,26,true
g-w1-56b-8,2026-08-29,13:00,Mineola Elementary Gym,t-mineola-56b-blue,t-town-b-56b-blue,1,5th/6th Grade Boys,final,26,47,true
g-w1-56g-8,2026-08-29,14:00,Mineola Elementary Gym,t-mineola-56g-blue,t-town-b-56g-blue,1,5th/6th Grade Girls,final,31,36,true
g-w2-3b-1,2026-09-05,09:00,Mineola Community Gym,t-mineola-3b-white,t-mineola-3b-red,2,3rd Grade Boys,final,29,11,true
g-w2-3g-1,2026-09-05,10:00,Mineola Community Gym,t-mineola-3g-white,t-mineola-3g-red,2,3rd Grade Girls,final,24,23,true
g-w2-4b-1,2026-09-05,11:00,Mineola Community Gym,t-mineola-4b-white,t-mineola-4b-red,2,4th Grade Boys,final,36,25,true
g-w2-4g-1,2026-09-05,12:00,Mineola Community Gym,t-mineola-4g-white,t-mineola-4g-red,2,4th Grade Girls,final,26,31,true
g-w2-56b-1,2026-09-05,13:00,Mineola Community Gym,t-mineola-56b-white,t-mineola-56b-red,2,5th/6th Grade Boys,final,33,31,true
g-w2-56g-1,2026-09-05,14:00,Mineola Community Gym,t-mineola-56g-white,t-mineola-56g-red,2,5th/6th Grade Girls,final,26,24,true
g-w2-3b-2,2026-09-05,09:00,Town B Gym,t-town-g-3b-blue,t-town-b-3b-white,2,3rd Grade Boys,final,13,14,true
g-w2-3g-2,2026-09-05,10:00,Town B Gym,t-town-g-3g-blue,t-town-b-3g-white,2,3rd Grade Girls,final,21,27,true
g-w2-4b-2,2026-09-05,11:00,Town B Gym,t-town-g-4b-blue,t-town-b-4b-white,2,4th Grade Boys,final,18,19,true
g-w2-4g-2,2026-09-05,12:00,Town B Gym,t-town-g-4g-blue,t-town-b-4g-white,2,4th Grade Girls,final,22,14,true
g-w2-56b-2,2026-09-05,13:00,Town B Gym,t-town-g-56b-blue,t-town-b-56b-white,2,5th/6th Grade Boys,final,45,31,true
g-w2-56g-2,2026-09-05,14:00,Town B Gym,t-town-g-56g-blue,t-town-b-56g-white,2,5th/6th Grade Girls,final,28,31,true
g-w2-3b-3,2026-09-05,09:00,Mineola Elementary Gym,t-town-f-3b-blue,t-town-b-3b-red,2,3rd Grade Boys,final,15,10,true
g-w2-3g-3,2026-09-05,10:00,Mineola Elementary Gym,t-town-f-3g-blue,t-town-b-3g-red,2,3rd Grade Girls,final,28,24,true
g-w2-4b-3,2026-09-05,11:00,Mineola Elementary Gym,t-town-f-4b-blue,t-town-b-4b-red,2,4th Grade Boys,final,28,27,true
g-w2-4g-3,2026-09-05,12:00,Mineola Elementary Gym,t-town-f-4g-blue,t-town-b-4g-red,2,4th Grade Girls,final,22,18,true
g-w2-56b-3,2026-09-05,13:00,Mineola Elementary Gym,t-town-f-56b-blue,t-town-b-56b-red,2,5th/6th Grade Boys,final,38,26,true
g-w2-56g-3,2026-09-05,14:00,Mineola Elementary Gym,t-town-f-56g-blue,t-town-b-56g-red,2,5th/6th Grade Girls,final,21,41,true
g-w2-3b-4,2026-09-05,09:00,Town C Gym,t-town-e-3b-blue,t-town-c-3b-red,2,3rd Grade Boys,final,25,14,true
g-w2-3g-4,2026-09-05,10:00,Town C Gym,t-town-e-3g-blue,t-town-c-3g-red,2,3rd Grade Girls,final,13,15,true
g-w2-4b-4,2026-09-05,11:00,Town C Gym,t-town-e-4b-blue,t-town-c-4b-red,2,4th Grade Boys,final,17,30,true
g-w2-4g-4,2026-09-05,12:00,Town C Gym,t-town-e-4g-blue,t-town-c-4g-red,2,4th Grade Girls,final,15,17,true
g-w2-56b-4,2026-09-05,13:00,Town C Gym,t-town-e-56b-blue,t-town-c-56b-red,2,5th/6th Grade Boys,final,31,48,true
g-w2-56g-4,2026-09-05,14:00,Town C Gym,t-town-e-56g-blue,t-town-c-56g-red,2,5th/6th Grade Girls,final,30,23,true
g-w2-3b-5,2026-09-05,09:00,Town D Gym,t-town-d-3b-blue,t-town-d-3b-red,2,3rd Grade Boys,final,14,27,true
g-w2-3g-5,2026-09-05,10:00,Town D Gym,t-town-d-3g-blue,t-town-d-3g-red,2,3rd Grade Girls,final,22,28,true
g-w2-4b-5,2026-09-05,11:00,Town D Gym,t-town-d-4b-blue,t-town-d-4b-red,2,4th Grade Boys,final,24,26,true
g-w2-4g-5,2026-09-05,12:00,Town D Gym,t-town-d-4g-blue,t-town-d-4g-red,2,4th Grade Girls,final,34,16,true
g-w2-56b-5,2026-09-05,13:00,Town D Gym,t-town-d-56b-blue,t-town-d-56b-red,2,5th/6th Grade Boys,final,37,32,true
g-w2-56g-5,2026-09-05,14:00,Town D Gym,t-town-d-56g-blue,t-town-d-56g-red,2,5th/6th Grade Girls,final,44,37,true
g-w2-3b-6,2026-09-05,09:00,Town E Gym,t-town-c-3b-blue,t-town-e-3b-red,2,3rd Grade Boys,final,26,20,true
g-w2-3g-6,2026-09-05,10:00,Town E Gym,t-town-c-3g-blue,t-town-e-3g-red,2,3rd Grade Girls,final,12,17,true
g-w2-4b-6,2026-09-05,11:00,Town E Gym,t-town-c-4b-blue,t-town-e-4b-red,2,4th Grade Boys,final,29,31,true
g-w2-4g-6,2026-09-05,12:00,Town E Gym,t-town-c-4g-blue,t-town-e-4g-red,2,4th Grade Girls,final,34,24,true
g-w2-56b-6,2026-09-05,13:00,Town E Gym,t-town-c-56b-blue,t-town-e-56b-red,2,5th/6th Grade Boys,final,35,31,true
g-w2-56g-6,2026-09-05,14:00,Town E Gym,t-town-c-56g-blue,t-town-e-56g-red,2,5th/6th Grade Girls,final,28,18,true
g-w2-3b-7,2026-09-05,09:00,Town F Gym,t-town-b-3b-blue,t-town-f-3b-red,2,3rd Grade Boys,final,18,15,true
g-w2-3g-7,2026-09-05,10:00,Town F Gym,t-town-b-3g-blue,t-town-f-3g-red,2,3rd Grade Girls,final,27,14,true
g-w2-4b-7,2026-09-05,11:00,Town F Gym,t-town-b-4b-blue,t-town-f-4b-red,2,4th Grade Boys,final,28,20,true
g-w2-4g-7,2026-09-05,12:00,Town F Gym,t-town-b-4g-blue,t-town-f-4g-red,2,4th Grade Girls,final,18,22,true
g-w2-56b-7,2026-09-05,13:00,Town F Gym,t-town-b-56b-blue,t-town-f-56b-red,2,5th/6th Grade Boys,final,23,38,true
g-w2-56g-7,2026-09-05,14:00,Town F Gym,t-town-b-56g-blue,t-town-f-56g-red,2,5th/6th Grade Girls,final,39,41,true
g-w2-3b-8,2026-09-05,09:00,Town G Gym,t-mineola-3b-blue,t-town-g-3b-red,2,3rd Grade Boys,final,26,16,true
g-w2-3g-8,2026-09-05,10:00,Town G Gym,t-mineola-3g-blue,t-town-g-3g-red,2,3rd Grade Girls,final,15,12,true
g-w2-4b-8,2026-09-05,11:00,Town G Gym,t-mineola-4b-blue,t-town-g-4b-red,2,4th Grade Boys,final,30,16,true
g-w2-4g-8,2026-09-05,12:00,Town G Gym,t-mineola-4g-blue,t-town-g-4g-red,2,4th Grade Girls,final,21,33,true
g-w2-56b-8,2026-09-05,13:00,Town G Gym,t-mineola-56b-blue,t-town-g-56b-red,2,5th/6th Grade Boys,final,21,38,true
g-w2-56g-8,2026-09-05,14:00,Town G Gym,t-mineola-56g-blue,t-town-g-56g-red,2,5th/6th Grade Girls,final,31,21,true
g-w3-3b-1,2026-09-12,09:00,Town G Gym,t-mineola-3b-red,t-town-g-3b-blue,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-1,2026-09-12,10:00,Town G Gym,t-mineola-3g-red,t-town-g-3g-blue,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-1,2026-09-12,11:00,Town G Gym,t-mineola-4b-red,t-town-g-4b-blue,3,4th Grade Boys,scheduled,,,true
g-w3-4g-1,2026-09-12,12:00,Town G Gym,t-mineola-4g-red,t-town-g-4g-blue,3,4th Grade Girls,scheduled,,,true
g-w3-56b-1,2026-09-12,13:00,Town G Gym,t-mineola-56b-red,t-town-g-56b-blue,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-1,2026-09-12,14:00,Town G Gym,t-mineola-56g-red,t-town-g-56g-blue,3,5th/6th Grade Girls,scheduled,,,true
g-w3-3b-2,2026-09-12,09:00,Town F Gym,t-mineola-3b-white,t-town-f-3b-blue,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-2,2026-09-12,10:00,Town F Gym,t-mineola-3g-white,t-town-f-3g-blue,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-2,2026-09-12,11:00,Town F Gym,t-mineola-4b-white,t-town-f-4b-blue,3,4th Grade Boys,scheduled,,,true
g-w3-4g-2,2026-09-12,12:00,Town F Gym,t-mineola-4g-white,t-town-f-4g-blue,3,4th Grade Girls,scheduled,,,true
g-w3-56b-2,2026-09-12,13:00,Town F Gym,t-mineola-56b-white,t-town-f-56b-blue,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-2,2026-09-12,14:00,Town F Gym,t-mineola-56g-white,t-town-f-56g-blue,3,5th/6th Grade Girls,scheduled,,,true
g-w3-3b-3,2026-09-12,09:00,Town E Gym,t-town-b-3b-white,t-town-e-3b-blue,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-3,2026-09-12,10:00,Town E Gym,t-town-b-3g-white,t-town-e-3g-blue,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-3,2026-09-12,11:00,Town E Gym,t-town-b-4b-white,t-town-e-4b-blue,3,4th Grade Boys,scheduled,,,true
g-w3-4g-3,2026-09-12,12:00,Town E Gym,t-town-b-4g-white,t-town-e-4g-blue,3,4th Grade Girls,scheduled,,,true
g-w3-56b-3,2026-09-12,13:00,Town E Gym,t-town-b-56b-white,t-town-e-56b-blue,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-3,2026-09-12,14:00,Town E Gym,t-town-b-56g-white,t-town-e-56g-blue,3,5th/6th Grade Girls,scheduled,,,true
g-w3-3b-4,2026-09-12,09:00,Town D Gym,t-town-b-3b-red,t-town-d-3b-blue,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-4,2026-09-12,10:00,Town D Gym,t-town-b-3g-red,t-town-d-3g-blue,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-4,2026-09-12,11:00,Town D Gym,t-town-b-4b-red,t-town-d-4b-blue,3,4th Grade Boys,scheduled,,,true
g-w3-4g-4,2026-09-12,12:00,Town D Gym,t-town-b-4g-red,t-town-d-4g-blue,3,4th Grade Girls,scheduled,,,true
g-w3-56b-4,2026-09-12,13:00,Town D Gym,t-town-b-56b-red,t-town-d-56b-blue,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-4,2026-09-12,14:00,Town D Gym,t-town-b-56g-red,t-town-d-56g-blue,3,5th/6th Grade Girls,scheduled,,,true
g-w3-3b-5,2026-09-12,09:00,Town C Gym,t-town-c-3b-red,t-town-c-3b-blue,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-5,2026-09-12,10:00,Town C Gym,t-town-c-3g-red,t-town-c-3g-blue,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-5,2026-09-12,11:00,Town C Gym,t-town-c-4b-red,t-town-c-4b-blue,3,4th Grade Boys,scheduled,,,true
g-w3-4g-5,2026-09-12,12:00,Town C Gym,t-town-c-4g-red,t-town-c-4g-blue,3,4th Grade Girls,scheduled,,,true
g-w3-56b-5,2026-09-12,13:00,Town C Gym,t-town-c-56b-red,t-town-c-56b-blue,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-5,2026-09-12,14:00,Town C Gym,t-town-c-56g-red,t-town-c-56g-blue,3,5th/6th Grade Girls,scheduled,,,true
g-w3-3b-6,2026-09-12,09:00,Town B Gym,t-town-d-3b-red,t-town-b-3b-blue,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-6,2026-09-12,10:00,Town B Gym,t-town-d-3g-red,t-town-b-3g-blue,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-6,2026-09-12,11:00,Town B Gym,t-town-d-4b-red,t-town-b-4b-blue,3,4th Grade Boys,scheduled,,,true
g-w3-4g-6,2026-09-12,12:00,Town B Gym,t-town-d-4g-red,t-town-b-4g-blue,3,4th Grade Girls,scheduled,,,true
g-w3-56b-6,2026-09-12,13:00,Town B Gym,t-town-d-56b-red,t-town-b-56b-blue,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-6,2026-09-12,14:00,Town B Gym,t-town-d-56g-red,t-town-b-56g-blue,3,5th/6th Grade Girls,scheduled,,,true
g-w3-3b-7,2026-09-12,09:00,Mineola Community Gym,t-town-e-3b-red,t-mineola-3b-blue,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-7,2026-09-12,10:00,Mineola Community Gym,t-town-e-3g-red,t-mineola-3g-blue,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-7,2026-09-12,11:00,Mineola Community Gym,t-town-e-4b-red,t-mineola-4b-blue,3,4th Grade Boys,scheduled,,,true
g-w3-4g-7,2026-09-12,12:00,Mineola Community Gym,t-town-e-4g-red,t-mineola-4g-blue,3,4th Grade Girls,scheduled,,,true
g-w3-56b-7,2026-09-12,13:00,Mineola Community Gym,t-town-e-56b-red,t-mineola-56b-blue,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-7,2026-09-12,14:00,Mineola Community Gym,t-town-e-56g-red,t-mineola-56g-blue,3,5th/6th Grade Girls,scheduled,,,true
g-w3-3b-8,2026-09-12,09:00,Mineola Elementary Gym,t-town-f-3b-red,t-town-g-3b-red,3,3rd Grade Boys,scheduled,,,true
g-w3-3g-8,2026-09-12,10:00,Mineola Elementary Gym,t-town-f-3g-red,t-town-g-3g-red,3,3rd Grade Girls,scheduled,,,true
g-w3-4b-8,2026-09-12,11:00,Mineola Elementary Gym,t-town-f-4b-red,t-town-g-4b-red,3,4th Grade Boys,scheduled,,,true
g-w3-4g-8,2026-09-12,12:00,Mineola Elementary Gym,t-town-f-4g-red,t-town-g-4g-red,3,4th Grade Girls,scheduled,,,true
g-w3-56b-8,2026-09-12,13:00,Mineola Elementary Gym,t-town-f-56b-red,t-town-g-56b-red,3,5th/6th Grade Boys,scheduled,,,true
g-w3-56g-8,2026-09-12,14:00,Mineola Elementary Gym,t-town-f-56g-red,t-town-g-56g-red,3,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-1,2026-09-19,09:00,Mineola Community Gym,t-town-f-3b-blue,t-mineola-3b-red,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-1,2026-09-19,10:00,Mineola Community Gym,t-town-f-3g-blue,t-mineola-3g-red,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-1,2026-09-19,11:00,Mineola Community Gym,t-town-f-4b-blue,t-mineola-4b-red,4,4th Grade Boys,scheduled,,,true
g-w4-4g-1,2026-09-19,12:00,Mineola Community Gym,t-town-f-4g-blue,t-mineola-4g-red,4,4th Grade Girls,scheduled,,,true
g-w4-56b-1,2026-09-19,13:00,Mineola Community Gym,t-town-f-56b-blue,t-mineola-56b-red,4,5th/6th Grade Boys,scheduled,,,true
g-w4-56g-1,2026-09-19,14:00,Mineola Community Gym,t-town-f-56g-blue,t-mineola-56g-red,4,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-2,2026-09-19,09:00,Town G Gym,t-town-e-3b-blue,t-town-g-3b-blue,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-2,2026-09-19,10:00,Town G Gym,t-town-e-3g-blue,t-town-g-3g-blue,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-2,2026-09-19,11:00,Town G Gym,t-town-e-4b-blue,t-town-g-4b-blue,4,4th Grade Boys,scheduled,,,true
g-w4-4g-2,2026-09-19,12:00,Town G Gym,t-town-e-4g-blue,t-town-g-4g-blue,4,4th Grade Girls,scheduled,,,true
g-w4-56b-2,2026-09-19,13:00,Town G Gym,t-town-e-56b-blue,t-town-g-56b-blue,4,5th/6th Grade Boys,scheduled,,,true
g-w4-56g-2,2026-09-19,14:00,Town G Gym,t-town-e-56g-blue,t-town-g-56g-blue,4,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-3,2026-09-19,09:00,Mineola Elementary Gym,t-town-d-3b-blue,t-mineola-3b-white,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-3,2026-09-19,10:00,Mineola Elementary Gym,t-town-d-3g-blue,t-mineola-3g-white,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-3,2026-09-19,11:00,Mineola Elementary Gym,t-town-d-4b-blue,t-mineola-4b-white,4,4th Grade Boys,scheduled,,,true
g-w4-4g-3,2026-09-19,12:00,Mineola Elementary Gym,t-town-d-4g-blue,t-mineola-4g-white,4,4th Grade Girls,scheduled,,,true
g-w4-56b-3,2026-09-19,13:00,Mineola Elementary Gym,t-town-d-56b-blue,t-mineola-56b-white,4,5th/6th Grade Boys,scheduled,,,true
g-w4-56g-3,2026-09-19,14:00,Mineola Elementary Gym,t-town-d-56g-blue,t-mineola-56g-white,4,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-4,2026-09-19,09:00,Town B Gym,t-town-c-3b-blue,t-town-b-3b-white,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-4,2026-09-19,10:00,Town B Gym,t-town-c-3g-blue,t-town-b-3g-white,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-4,2026-09-19,11:00,Town B Gym,t-town-c-4b-blue,t-town-b-4b-white,4,4th Grade Boys,scheduled,,,true
g-w4-4g-4,2026-09-19,12:00,Town B Gym,t-town-c-4g-blue,t-town-b-4g-white,4,4th Grade Girls,scheduled,,,true
g-w4-56b-4,2026-09-19,13:00,Town B Gym,t-town-c-56b-blue,t-town-b-56b-white,4,5th/6th Grade Boys,scheduled,,,true
g-w4-56g-4,2026-09-19,14:00,Town B Gym,t-town-c-56g-blue,t-town-b-56g-white,4,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-5,2026-09-19,09:00,Town C Gym,t-town-b-3b-blue,t-town-b-3b-red,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-5,2026-09-19,10:00,Town C Gym,t-town-b-3g-blue,t-town-b-3g-red,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-5,2026-09-19,11:00,Town C Gym,t-town-b-4b-blue,t-town-b-4b-red,4,4th Grade Boys,scheduled,,,true
g-w4-4g-5,2026-09-19,12:00,Town C Gym,t-town-b-4g-blue,t-town-b-4g-red,4,4th Grade Girls,scheduled,,,true
g-w4-56b-5,2026-09-19,13:00,Town C Gym,t-town-b-56b-blue,t-town-b-56b-red,4,5th/6th Grade Boys,scheduled,,,true
g-w4-56g-5,2026-09-19,14:00,Town C Gym,t-town-b-56g-blue,t-town-b-56g-red,4,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-6,2026-09-19,09:00,Town D Gym,t-mineola-3b-blue,t-town-c-3b-red,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-6,2026-09-19,10:00,Town D Gym,t-mineola-3g-blue,t-town-c-3g-red,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-6,2026-09-19,11:00,Town D Gym,t-mineola-4b-blue,t-town-c-4b-red,4,4th Grade Boys,scheduled,,,true
g-w4-4g-6,2026-09-19,12:00,Town D Gym,t-mineola-4g-blue,t-town-c-4g-red,4,4th Grade Girls,scheduled,,,true
g-w4-56b-6,2026-09-19,13:00,Town D Gym,t-mineola-56b-blue,t-town-c-56b-red,4,5th/6th Grade Boys,scheduled,,,true
g-w4-56g-6,2026-09-19,14:00,Town D Gym,t-mineola-56g-blue,t-town-c-56g-red,4,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-7,2026-09-19,09:00,Town E Gym,t-town-g-3b-red,t-town-d-3b-red,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-7,2026-09-19,10:00,Town E Gym,t-town-g-3g-red,t-town-d-3g-red,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-7,2026-09-19,11:00,Town E Gym,t-town-g-4b-red,t-town-d-4b-red,4,4th Grade Boys,scheduled,,,true
g-w4-4g-7,2026-09-19,12:00,Town E Gym,t-town-g-4g-red,t-town-d-4g-red,4,4th Grade Girls,scheduled,,,true
g-w4-56b-7,2026-09-19,13:00,Town E Gym,t-town-g-56b-red,t-town-d-56b-red,4,5th/6th Grade Boys,scheduled,,,true
g-w4-56g-7,2026-09-19,14:00,Town E Gym,t-town-g-56g-red,t-town-d-56g-red,4,5th/6th Grade Girls,scheduled,,,true
g-w4-3b-8,2026-09-19,09:00,Town F Gym,t-town-f-3b-red,t-town-e-3b-red,4,3rd Grade Boys,scheduled,,,true
g-w4-3g-8,2026-09-19,10:00,Town F Gym,t-town-f-3g-red,t-town-e-3g-red,4,3rd Grade Girls,scheduled,,,true
g-w4-4b-8,2026-09-19,11:00,Town F Gym,t-town-f-4b-red,t-town-e-4b-red,4,4th Grade Boys,scheduled,,,true
g-w4-4g-8,2026-09-19,12:00,Town F Gym,t-town-f-4g-red,t-town-e-4g-red,4,4th Grade Girls,scheduled,,,true
g-w4-56b-8,2026-09-19,13:00,Town F Gym,t-town-f-56b-red,t-town-e-56b-red,4,5th/6th Grade Boys,scheduled,,,true
